date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:54:18	482481/482481	---M-Z	200	added ('OK')	text/html	etag:%224290cc860d5d26f8d935720b75a3b1b0%22	https://shreytrivedi.com/	C:/My%20Web%20Sites/portfiolio%20web/shreytrivedi.com/index.html	(from )
09:54:18	89/89	---M-Z	200	added ('OK')	text/plain	etag:%22521bde39056148430c01d85af6529598%22	https://shreytrivedi.com/robots.txt		(from )
09:54:18	3534/3534	---MC-	200	added ('OK')	image/png	etag:%2215b5247d946770f7796666d54a594677%22	https://framerusercontent.com/images/nIW0AaJo78r4XaoA2LKrwqX2I.png	C:/My%20Web%20Sites/portfiolio%20web/framerusercontent.com/images/nIW0AaJo78r4XaoA2LKrwqX2I.png	(from https://shreytrivedi.com/)
09:54:19	6026/6026	---MC-	200	added ('OK')	image/png	etag:%22fb2c3f8275b7b2e81c5a26a94f14c79b%22	https://framerusercontent.com/images/Ms6pQ41DUr7PBWtFCUrMUXxHxco.png	C:/My%20Web%20Sites/portfiolio%20web/framerusercontent.com/images/Ms6pQ41DUr7PBWtFCUrMUXxHxco.png	(from https://shreytrivedi.com/)
09:54:19	881112/881112	---M--	200	added ('OK')	image/jpeg	etag:%22db389023c19906e8b07779c35c68d292%22	https://framerusercontent.com/assets/yBtlrm5QvVUaugiMmmbaeKEMc.jpg	C:/My%20Web%20Sites/portfiolio%20web/framerusercontent.com/assets/yBtlrm5QvVUaugiMmmbaeKEMc.jpg	(from https://shreytrivedi.com/)
09:54:19	756003/756003	---MC-	200	added ('OK')	image/png	etag:%226e0cb64d4b59d2bce55cfc815795bf57%22	https://framerusercontent.com/images/LPShgBt0sQRxCcqmjdtxLwEv4.png	C:/My%20Web%20Sites/portfiolio%20web/framerusercontent.com/images/LPShgBt0sQRxCcqmjdtxLwEv4.png	(from https://shreytrivedi.com/)
09:54:19	22927/22927	---MC-	200	added ('OK')	image/png	etag:%229fc151d4056f88b1dddf17b0d20dff98%22	https://framerusercontent.com/images/rR6HYXBrMmX4cRpXfXUOvpvpB0.png	C:/My%20Web%20Sites/portfiolio%20web/framerusercontent.com/images/rR6HYXBrMmX4cRpXfXUOvpvpB0.png	(from https://shreytrivedi.com/)
09:54:20	369006/369006	---M-Z	200	added ('OK')	text/html	etag:%222882507def81b9107dae09496e622f84%22	https://shreytrivedi.com/about	C:/My%20Web%20Sites/portfiolio%20web/shreytrivedi.com/about.html	(from https://shreytrivedi.com/)
09:54:20	524110/524110	---M-Z	200	added ('OK')	text/html	etag:%22d41060d202d6fe42989b5a4b45f6f429%22	https://shreytrivedi.com/casestudy3	C:/My%20Web%20Sites/portfiolio%20web/shreytrivedi.com/casestudy3.html	(from https://shreytrivedi.com/)
09:54:20	241726/241726	---MC-	200	added ('OK')	image/png	etag:%228e16391199e6d1706653d5090c3456eb%22	https://framerusercontent.com/images/BYtUqONyTeWos5ugZtgM2rz3a4.png	C:/My%20Web%20Sites/portfiolio%20web/framerusercontent.com/images/BYtUqONyTeWos5ugZtgM2rz3a4.png	(from https://shreytrivedi.com/)
09:54:21	438033/438033	---M-Z	200	added ('OK')	text/html	etag:%227029442da46155f824aa8a3ed07a71b4%22	https://shreytrivedi.com/instinet	C:/My%20Web%20Sites/portfiolio%20web/shreytrivedi.com/instinet.html	(from https://shreytrivedi.com/)
